pmid,doi,annee,modele,theme,themes_secondaires,journal,titre,url,fichier
36802128,10.1002/adhm.202202907,2023,dosimetrie_modelisation,apoptose_mitochondrie,stress_oxydatif;thermique;neuro_comportement_cognition,Advanced healthcare materials,AIEgens/Mitochondria Nanohybrids as Bioactive Microwave Sensitizers for Non-Thermal Microwave Cancer Therapy.,https://pubmed.ncbi.nlm.nih.gov/36802128/,dosimetrie_modelisation/apoptose_mitochondrie/2023_36802128_aiegens-mitochondria-nanohybrids-as-bioactive-micr.md
24817642,10.1007/s12013-014-0007-4,2014,dosimetrie_modelisation,apoptose_mitochondrie,genotoxicite_epigenetique;dosimetrie_exposition,Cell biochemistry and biophysics,Mobile phone radiation alters proliferation of hepatocarcinoma cells.,https://pubmed.ncbi.nlm.nih.gov/24817642/,dosimetrie_modelisation/apoptose_mitochondrie/2014_24817642_mobile-phone-radiation-alters-proliferation-of-hep.md
42402072,10.1080/15368378.2026.2695362,2026,dosimetrie_modelisation,dosimetrie_exposition,thermique,Electromagnetic biology and medicine,Computational dosimetry of electromagnetic and thermal exposure for pacemaker wearers in vehicle-to-vehicle environments.,https://pubmed.ncbi.nlm.nih.gov/42402072/,dosimetrie_modelisation/dosimetrie_exposition/2026_42402072_computational-dosimetry-of-electromagnetic-and-the.md
39746061,10.1080/09553002.2024.2442693,2025,dosimetrie_modelisation,dosimetrie_exposition,,International journal of radiation biology,Numerical dosimetry of specific absorption rate of insects exposed to far-field radiofrequency electromagnetic fields.,https://pubmed.ncbi.nlm.nih.gov/39746061/,dosimetrie_modelisation/dosimetrie_exposition/2025_39746061_numerical-dosimetry-of-specific-absorption-rate-of.md
40831424,10.1002/bem.70019,2025,dosimetrie_modelisation,dosimetrie_exposition,,Bioelectromagnetics,5G RF EMF Spectral Exposure Assessment in Four European Countries.,https://pubmed.ncbi.nlm.nih.gov/40831424/,dosimetrie_modelisation/dosimetrie_exposition/2025_40831424_5g-rf-emf-spectral-exposure-assessment-in-four-eur.md
38199478,10.1016/j.envres.2024.118124,2024,dosimetrie_modelisation,dosimetrie_exposition,,Environmental research,"Personal exposure to radiofrequency electromagnetic fields: A comparative analysis of international, national, and regional guidelines.",https://pubmed.ncbi.nlm.nih.gov/38199478/,dosimetrie_modelisation/dosimetrie_exposition/2024_38199478_personal-exposure-to-radiofrequency-electromagneti.md
38709715,10.1080/09553002.2024.2347354,2024,dosimetrie_modelisation,dosimetrie_exposition,reproduction,International journal of radiation biology,Absorption of 5G sub-6 GHz electromagnetic radiation from base station to male reproduction system.,https://pubmed.ncbi.nlm.nih.gov/38709715/,dosimetrie_modelisation/dosimetrie_exposition/2024_38709715_absorption-of-5g-sub-6-ghz-electromagnetic-radiati.md
39030829,10.1002/bem.22518,2024,dosimetrie_modelisation,dosimetrie_exposition,,Bioelectromagnetics,Estimates and measurements of radiofrequency exposures in smart-connected homes.,https://pubmed.ncbi.nlm.nih.gov/39030829/,dosimetrie_modelisation/dosimetrie_exposition/2024_39030829_estimates-and-measurements-of-radiofrequency-expos.md
36772628,10.3390/s23031588,2023,dosimetrie_modelisation,dosimetrie_exposition,,"Sensors (Basel, Switzerland)",Multi-Technology Multi-Operator Site Sharing: Compliance Distance Analysis for EMF Exposure.,https://pubmed.ncbi.nlm.nih.gov/36772628/,dosimetrie_modelisation/dosimetrie_exposition/2023_36772628_multi-technology-multi-operator-site-sharing-compl.md
36901531,10.3390/ijerph20054512,2023,dosimetrie_modelisation,dosimetrie_exposition,,International journal of environmental research and public health,5G Service and Pacemakers/Implantable Defibrillators: What Is the Actual Risk?,https://pubmed.ncbi.nlm.nih.gov/36901531/,dosimetrie_modelisation/dosimetrie_exposition/2023_36901531_5g-service-and-pacemakers-implantable-defibrillato.md
36991856,10.3390/s23063145,2023,dosimetrie_modelisation,dosimetrie_exposition,,"Sensors (Basel, Switzerland)",RF-EMF Exposure near 5G NR Small Cells.,https://pubmed.ncbi.nlm.nih.gov/36991856/,dosimetrie_modelisation/dosimetrie_exposition/2023_36991856_rf-emf-exposure-near-5g-nr-small-cells.md
36992024,10.3390/s23063312,2023,dosimetrie_modelisation,dosimetrie_exposition,,"Sensors (Basel, Switzerland)",Comparison of Low-Cost 5G Electromagnetic Field Sensors.,https://pubmed.ncbi.nlm.nih.gov/36992024/,dosimetrie_modelisation/dosimetrie_exposition/2023_36992024_comparison-of-low-cost-5g-electromagnetic-field-se.md
38202965,10.3390/s24010103,2023,dosimetrie_modelisation,dosimetrie_exposition,,"Sensors (Basel, Switzerland)",A Compact Dual-Band Millimeter Wave Antenna for Smartwatch and IoT Applications with Link Budget Estimation.,https://pubmed.ncbi.nlm.nih.gov/38202965/,dosimetrie_modelisation/dosimetrie_exposition/2023_38202965_a-compact-dual-band-millimeter-wave-antenna-for-sm.md
